,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60,random_model_n61,random_model_n62,random_model_n63,random_model_n64,random_model_n65,random_model_n66,random_model_n67
546,0,0,1,3,0,3,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,0,5,7,0,0,2,3,3,2,0,2,0,0,3,0,2,3,2,0,2,3,1,0,3,0,0,2,2,0,0,3,0,0,1,2,0,0,1,0,2,3,0,2,2,0,1,0,1,2,2,0,2,2,1,0,3,3,2,2,0,0,2,2,0,1,1,0,0,2,1,3,1,3,3,1,2,2,3,0,1
547,0,0,2,0,2,2,4,5,116,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,0,0,0,1,2,3,2,0,1,0,2,3,1,3,2,0,0,0,1,2,2,2,3,0,0,3,3,0,1,3,0,1,2,2,1,3,0,3,0,2,2,3,0,3,2,3,2,2,0,1,0,3,1,2,1,3,0,0,3,2,1,2,2,2,3,0,1
548,0,1,2,2,4,4,6,1,94,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,2,1,6,1,0,0,0,3,1,3,1,2,2,3,3,0,2,1,3,2,3,0,0,1,3,1,0,2,2,3,1,3,2,0,3,2,0,1,2,0,1,1,0,1,2,3,1,1,2,3,3,0,1,0,1,3,2,3,1,1,0,0,1,3,2,1,2,0,3,1,0,0,2
549,0,1,2,2,4,1,3,1,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,0,2,1,6,1,0,0,1,0,2,3,2,1,2,3,3,3,0,1,1,2,1,1,0,1,3,0,2,3,0,3,2,1,0,1,0,0,3,2,3,3,2,3,3,1,0,0,3,2,1,0,3,0,3,1,0,0,2,2,3,1,0,2,0,0,0,0,0,3,3,1,1,3,3
550,0,1,0,1,1,5,1,7,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,1,3,1,1,3,2,0,2,1,3,0,2,1,3,1,2,3,2,1,3,2,0,2,3,0,3,3,2,2,3,0,0,2,3,2,2,3,0,0,2,0,0,2,3,0,2,1,1,3,3,0,1,1,3,3,2,3,1,1,0,3,0,1,3,2,0,2
551,0,1,0,2,4,4,1,7,83,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,1,0,4,5,1,6,0,0,1,0,0,2,1,3,3,2,2,0,2,1,2,3,0,2,3,3,0,3,0,1,3,0,1,2,0,0,2,2,0,1,3,3,3,3,2,2,0,0,1,3,2,2,0,3,1,3,3,1,1,2,1,0,0,1,2,3,0,3,3,1,1,3,2,2,2
552,0,1,2,2,4,4,6,3,117,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,0,2,0,3,2,2,2,0,2,0,0,3,1,0,0,0,0,3,0,0,1,3,0,3,0,1,0,1,3,0,0,3,1,0,0,0,1,3,0,2,0,1,2,0,1,0,2,0,2,1,3,3,1,1,2,3,1,3,1,0,0,3,2,0,3,2
553,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,1,0,1,2,2,0,3,0,2,1,2,1,3,3,1,2,2,0,3,0,3,3,3,2,3,3,2,3,2,2,1,0,0,3,0,0,0,2,2,1,3,1,3,0,1,1,0,0,2,2,2,1,1,1,0,0,1,2,3,0,2,0,0,1,3,3
554,0,0,1,3,0,3,2,4,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,3,3,3,1,0,3,1,2,3,3,0,0,3,1,2,0,1,3,0,0,1,0,2,1,0,1,1,0,1,3,1,0,2,2,3,2,1,2,3,1,3,0,2,1,0,2,2,3,3,1,0,2,1,0,1,2,3,3,0,3,1,2,0,2,2,2,2
555,0,1,2,2,4,1,3,1,104,0,0,0,0,0,0,0,0,0,1,2,0,4,4,1,2,0,1,0,1,2,1,6,1,0,0,2,1,3,3,3,2,1,2,3,0,3,0,2,3,2,1,3,0,3,3,0,1,2,3,0,0,0,2,0,1,2,2,3,0,2,1,3,3,3,1,3,3,0,2,3,3,0,0,1,0,2,2,2,1,0,1,3,0,2,2,0,3,0,3,1,2,2
556,0,0,2,0,2,2,4,5,100,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,2,3,0,3,3,0,2,1,0,3,3,2,2,3,0,1,3,0,2,0,1,3,2,2,1,1,1,0,0,3,1,0,0,2,2,1,0,2,0,1,2,3,1,1,0,0,3,3,3,1,0,1,2,1,0,3,1,3,2,2,3,3,3,0,0,0,0
557,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,3,0,5,7,0,0,0,0,2,1,3,0,3,2,3,1,2,0,0,3,0,2,0,3,1,2,0,2,1,2,2,0,1,3,0,2,2,3,0,3,2,1,2,3,3,0,1,1,0,2,1,2,2,2,2,0,2,3,2,3,2,2,1,2,3,2,2,2,0,3,2,1,2
558,0,0,1,3,3,0,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,2,3,3,2,0,2,0,0,2,1,3,3,3,0,1,3,3,3,1,2,0,3,3,2,2,1,1,1,0,2,3,3,3,0,2,2,2,1,3,3,2,0,1,2,1,2,3,3,3,3,0,3,1,2,2,3,0,1,0,3,0,0,2,0,2,0,2,3,3,1,1,2,2,2,0
559,0,1,0,2,4,4,6,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,4,5,1,4,0,0,0,3,1,1,3,0,0,3,1,2,0,1,1,3,0,0,3,3,3,1,3,1,1,3,0,1,0,0,2,3,1,0,0,0,3,0,2,1,2,3,2,1,1,1,2,2,2,0,3,3,1,1,2,1,0,2,3,1,3,1,0,2,2,0,0,3,0
560,0,1,0,1,1,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,1,2,1,4,5,7,0,0,3,3,0,1,1,2,3,2,1,3,0,1,2,3,0,2,2,2,1,0,2,1,3,2,3,0,2,1,3,3,0,3,2,1,0,0,3,3,0,1,0,3,3,0,1,0,3,2,3,1,2,3,1,2,1,0,2,3,3,2,0,3,0,2,3,2,0
561,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,3,0,3,0,1,1,2,1,3,2,2,2,2,1,3,2,3,2,2,0,2,2,1,2,1,2,2,3,0,3,1,0,2,0,2,0,1,2,3,0,1,2,1,0,3,3,0,2,3,3,1,1,1,3,3,3,3,0,3,1,2,2,2,3,0,3,0
562,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,2,1,4,5,7,0,0,3,2,3,3,1,2,1,1,3,1,3,3,0,3,2,1,2,1,0,0,3,2,2,2,3,0,3,0,0,2,3,1,0,1,1,0,1,0,2,3,1,2,3,1,3,2,0,0,2,3,2,2,3,0,3,3,1,3,2,1,3,1,1,2,0,0,1
563,0,1,2,2,4,4,6,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,3,2,2,0,0,0,2,0,1,1,3,0,2,0,3,3,3,2,2,2,1,1,0,3,3,2,3,0,1,1,0,0,0,0,0,0,0,2,3,2,3,2,3,2,3,3,3,2,3,0,0,0,0,3,0,0,1,3,0,0,1,3,3,3,0,0,0
564,0,1,0,2,4,4,1,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,1,0,4,5,1,6,0,0,3,3,2,2,3,1,0,0,1,2,1,1,0,2,0,2,1,3,1,2,3,3,3,0,0,3,2,3,0,0,1,0,2,2,3,1,2,2,2,0,3,3,1,2,2,3,1,1,2,1,3,0,2,2,0,2,0,3,2,2,0,2,0,1,0,0,2
565,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,3,1,0,1,2,1,0,3,0,3,0,1,3,2,1,0,0,1,3,2,2,0,0,2,2,1,3,3,3,3,0,2,0,2,2,1,3,0,2,2,1,2,3,3,0,0,0,3,3,1,2,3,2,3,1,2,3,0,3,3,2,2,3,3,3,3
566,0,0,1,3,3,1,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,3,3,2,0,2,0,0,2,3,1,3,3,0,3,1,3,2,0,0,2,1,0,3,1,2,1,2,3,2,2,0,3,1,1,3,3,0,0,2,2,2,0,0,1,1,0,1,2,1,1,0,0,3,0,2,2,1,1,3,2,3,1,3,1,1,0,3,2,3,0,3,2,3,0
567,0,1,0,1,3,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,2,1,4,5,7,0,0,3,0,1,0,1,0,2,2,1,3,3,3,0,1,2,1,0,3,0,3,3,2,3,0,1,0,3,0,2,3,0,0,3,0,0,0,0,2,3,1,1,3,2,1,0,2,0,1,0,1,3,3,2,3,1,1,1,3,0,1,2,0,3,1,3,1,3
568,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,0,0,1,2,3,3,0,1,2,1,1,2,2,3,3,3,1,3,2,0,1,2,3,2,0,1,3,3,2,1,3,1,3,2,2,1,2,2,2,0,2,3,2,2,1,0,2,1,0,2,2,1,3,3,3,1,1,0,1,2,3,0,1,0,1,3
569,0,1,2,0,2,1,3,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,0,1,2,1,6,1,0,0,2,1,1,1,1,0,2,1,1,2,0,0,0,2,3,2,1,2,1,2,0,0,0,3,0,1,3,0,1,0,3,1,1,0,1,2,1,0,0,2,0,2,3,1,1,0,0,0,3,0,1,1,3,3,2,1,3,3,2,0,3,0,3,3,2,2,1
570,0,1,0,1,1,5,1,7,118,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,2,2,3,1,2,1,2,1,3,1,2,0,2,3,1,1,0,1,1,1,3,0,2,3,3,2,2,1,2,2,3,2,1,1,3,1,3,2,2,1,3,1,3,3,3,2,0,0,3,1,3,3,1,1,1,0,3,1,2,2,3,0,1,1,0,1,3
571,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,0,2,0,0,0,1,0,3,1,2,0,1,3,3,2,1,3,3,2,3,0,0,3,1,2,2,1,1,3,1,0,0,0,0,3,2,1,3,2,1,1,2,1,2,0,1,0,2,3,0,0,1,3,2,3,2,3,3,1,3,3,0,1,1,2,3,3
572,0,1,0,1,3,0,0,2,102,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,2,1,4,5,7,0,0,2,3,0,0,2,2,3,1,1,0,3,2,3,2,3,0,0,2,2,1,2,1,0,3,0,1,0,1,2,0,2,1,3,2,0,0,1,2,3,1,2,0,0,1,0,2,0,1,0,2,1,2,0,0,3,3,0,3,1,3,3,0,0,1,2,3,0
573,0,0,1,3,3,0,0,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,3,2,5,7,0,0,1,1,1,2,2,1,0,2,2,0,1,1,3,0,2,0,0,1,0,1,0,3,1,0,2,2,1,2,2,3,3,0,2,2,3,3,0,1,3,2,1,1,3,1,0,2,1,3,3,0,0,2,3,2,3,2,2,2,0,1,2,0,1,3,0,2,2
574,0,1,2,2,4,4,6,3,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,1,0,0,2,1,0,2,2,1,0,0,3,2,3,2,0,0,1,2,2,1,3,2,3,0,1,3,2,3,3,1,0,2,1,0,1,2,2,0,1,2,1,1,3,2,3,3,1,2,1,2,2,2,2,3,0,0,2,3,2,3,0,0,0,1,3,1,3,1,2
575,0,1,0,1,1,5,1,7,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,0,2,0,1,0,1,3,1,3,1,3,0,3,1,1,0,2,0,1,0,1,2,1,0,3,1,2,1,1,3,2,0,2,2,3,2,2,0,0,2,0,1,3,0,3,2,0,2,1,0,2,2,2,2,3,3,3,1,3,0,0,2,2,3,0,0,0
576,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,3,3,0,0,2,2,3,2,2,2,2,0,2,0,3,2,0,1,0,2,1,2,2,2,2,3,2,2,0,0,2,1,1,2,3,1,1,1,0,3,0,2,1,0,3,2,3,3,0,2,2,1,0,1,1,2,1,0,3,3,1,0,2,2,3,1
577,0,0,1,3,0,3,2,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,2,3,3,0,0,2,0,0,3,2,1,1,3,1,2,0,3,2,2,3,2,3,2,0,0,1,0,2,1,1,1,3,2,0,0,1,2,1,2,0,1,0,2,3,3,3,2,3,3,1,0,3,3,0,2,3,0,3,0,3,2,0,1,1,0,2,2,1,3,3,0,1,0,0,3
578,0,1,2,2,4,4,6,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,0,0,3,1,3,0,2,0,1,1,2,2,1,2,0,3,3,0,2,3,1,2,3,1,3,2,2,2,2,3,2,1,1,3,0,3,1,0,2,0,1,1,0,0,1,1,3,1,1,1,3,1,0,2,0,1,2,1,2,3,0,3,3,1,1,0
579,0,1,0,1,1,5,5,0,93,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,1,3,0,1,3,0,2,0,0,3,1,0,0,3,2,1,2,1,2,0,1,2,2,1,1,3,2,2,0,2,0,2,0,2,3,1,2,3,2,1,3,1,2,3,1,1,3,3,0,2,1,2,1,0,0,1,1,0,0,3,2,2,2,2,1,0,0
580,0,0,1,3,0,3,2,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,0,0,3,0,1,0,3,0,3,1,0,3,0,1,3,3,3,1,1,3,0,0,1,2,1,2,1,3,0,0,3,3,3,1,2,3,0,0,1,0,3,1,2,0,0,0,3,0,3,0,2,3,1,0,2,0,0,2,2,2,0,2,1,0,3,1,1
581,0,0,1,3,0,3,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,3,3,2,0,2,0,0,2,0,1,0,1,2,0,0,2,0,1,0,2,0,2,0,1,3,3,0,2,1,0,1,2,0,3,3,0,2,2,2,0,0,1,1,1,2,3,0,0,0,1,0,0,2,3,1,1,0,3,3,2,2,0,1,0,3,2,0,0,2,3,0,3,0,3
582,0,1,2,2,4,4,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,2,2,6,1,0,0,2,3,1,1,1,3,2,0,0,2,1,2,0,3,1,0,1,0,3,2,3,0,3,2,2,3,3,1,3,2,1,0,2,2,2,2,0,1,1,1,0,3,1,1,3,3,0,3,2,0,3,2,1,1,0,1,2,3,0,1,2,3,3,0,3,0,0
583,0,0,1,3,0,3,2,4,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,0,2,0,0,2,2,0,1,0,2,0,2,1,2,2,2,1,0,3,2,3,1,1,1,2,1,0,1,2,1,0,1,3,1,0,2,0,0,2,2,1,3,0,0,2,1,0,1,0,2,2,2,3,2,2,0,0,1,2,1,1,2,1,2,3,1,1,1,1,0,2
584,0,0,2,0,2,2,4,5,116,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,2,0,0,1,1,1,2,1,3,2,2,0,2,1,3,2,0,3,0,1,3,0,0,1,0,3,1,3,3,3,0,3,0,3,0,0,1,1,3,3,1,0,2,2,3,0,1,2,0,3,1,2,2,0,2,2,0,3,2,0,2,2,2,3,2,2
585,0,1,2,2,4,4,6,3,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,2,2,3,2,1,0,1,0,3,0,0,2,2,1,2,2,1,2,0,2,0,1,2,3,0,2,0,2,3,1,3,1,1,1,0,3,0,0,3,2,2,1,2,3,2,2,3,3,0,3,1,0,3,0,2,1,1,1,3,2,2,1,3,3,2,1
586,0,1,0,1,1,5,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,2,2,3,1,2,2,0,2,1,1,2,3,1,1,2,0,3,2,0,2,2,2,1,2,2,1,0,0,1,2,0,3,0,2,1,1,3,3,1,1,0,1,3,1,1,0,1,1,1,3,1,1,1,0,2,2,1,1,0,3,1,0,0,2,1,3,2
587,0,0,1,3,3,0,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,2,3,3,2,0,2,0,0,3,1,0,1,2,2,0,3,1,1,2,1,1,0,3,0,1,1,3,0,1,3,3,1,0,0,0,3,2,2,0,3,0,1,3,0,2,0,3,3,1,2,3,1,0,3,0,2,0,3,1,3,1,3,3,0,0,0,0,1,0,1,0,1,1,0,3
588,0,1,0,1,1,5,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,1,3,3,0,1,1,1,3,3,2,3,3,0,0,3,3,0,1,0,2,2,1,2,3,2,3,1,0,3,3,1,1,0,0,2,2,3,0,1,0,1,3,0,3,1,0,0,1,2,1,3,3,0,1,0,0,3,1,3,3,2,2,0,1,2,2,2
589,0,0,2,0,2,2,4,5,105,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,0,0,3,1,2,1,3,3,3,1,1,1,0,3,1,1,3,0,1,0,1,3,1,2,0,3,3,1,2,3,0,0,2,0,1,0,1,2,1,3,1,0,3,0,0,3,1,1,3,0,0,3,0,0,1,2,3,1,1,2,1,0,2,0,1,2,2
590,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,3,2,3,2,0,1,0,3,1,2,1,0,1,2,3,2,1,2,2,2,0,2,2,1,2,1,0,1,1,0,2,0,1,0,3,1,3,0,3,1,3,0,0,3,2,1,2,0,2,3,3,0,2,3,2,2,1,0,3,3,1,0,0,1,1,3,0
591,0,0,2,0,2,1,3,1,111,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,2,0,1,0,1,0,2,0,1,0,0,1,1,2,1,3,0,0,2,0,3,0,1,2,1,1,1,0,3,3,1,3,1,1,0,0,0,1,0,2,1,0,0,0,3,3,2,1,1,1,1,1,3,1,1,0,2,3,1,0,1,1,0,3,3,0,3,3,0,3,0,3,0,2,3,2,3,1
592,0,1,0,1,1,5,1,7,118,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,3,1,1,2,1,1,1,0,1,3,1,1,2,2,0,3,1,0,0,2,2,2,1,0,1,2,3,0,3,0,1,0,3,1,2,0,1,1,3,3,3,0,1,1,0,1,0,0,1,3,2,2,2,2,0,3,2,1,3,2,1,1,3,2,1,3,1
593,0,0,1,0,2,2,4,5,119,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,0,3,0,1,2,1,2,1,2,2,1,0,1,3,0,2,0,0,3,3,0,0,2,3,0,0,0,0,2,2,2,3,0,2,2,1,2,1,3,1,3,3,0,1,2,0,1,1,1,0,1,3,3,1,1,1,0,3,0,3,1,2,0,3,1,0
594,0,1,0,1,3,0,5,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,1,2,1,4,5,7,0,0,3,2,1,1,1,2,3,3,2,2,2,0,2,1,1,3,1,0,3,3,3,3,1,0,1,2,2,2,3,0,0,1,3,2,3,3,2,2,0,3,1,3,2,3,3,1,0,0,3,0,2,0,3,1,1,1,1,2,3,2,3,1,1,2,2,1,1
595,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,1,4,5,7,0,0,2,3,1,0,2,1,0,3,1,0,1,2,1,3,0,3,3,1,1,1,3,2,1,2,3,3,0,3,0,1,1,0,0,1,2,0,1,3,1,3,2,3,1,2,3,3,0,2,2,3,2,2,2,0,3,0,0,0,3,2,1,3,0,2,2,0,2
596,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,1,3,3,0,0,1,0,0,2,3,2,3,3,0,2,0,0,2,3,1,1,1,1,1,1,2,1,2,1,0,0,3,2,1,1,2,0,0,1,3,0,0,0,3,1,2,2,0,1,1,1,3,1,3,2,1,2,3,1,2,1,1,0,3,0,1
597,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,0,1,3,1,1,0,1,1,3,1,2,1,1,2,1,2,3,0,2,1,3,0,3,1,1,0,0,0,0,3,1,0,2,2,2,2,3,2,3,1,2,2,3,2,3,1,0,3,2,0,0,1,1,0,2,3,2,2,2,0,3,0,3,2,1,2
598,0,1,0,1,1,5,5,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,2,4,5,1,6,0,0,2,1,2,3,0,1,2,3,0,3,1,0,2,2,2,1,0,1,3,2,1,3,0,3,1,1,3,3,3,2,1,0,3,2,2,3,2,1,3,3,2,3,0,3,2,0,1,3,1,0,2,3,0,0,1,1,2,2,0,2,2,0,2,1,1,1,1
599,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,0,0,0,0,3,3,2,3,0,0,2,1,3,0,3,2,3,3,3,0,1,0,1,0,2,3,1,0,1,1,1,2,0,0,3,1,3,3,2,0,0,1,2,0,1,3,0,0,2,1,1,2,0,1,2,3,0,0,0,1,0,3,3,0,0,0,2
600,0,0,1,3,3,0,0,2,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,3,2,0,7,0,0,0,2,2,0,0,1,2,1,3,3,2,0,2,0,3,0,0,3,2,2,1,2,3,3,2,1,3,3,0,0,2,1,1,3,0,2,1,2,0,1,1,0,3,0,1,2,2,2,1,1,2,3,2,3,3,3,1,0,0,1,2,3,2,2,3,2,3
601,0,0,1,3,0,3,2,4,120,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,0,2,0,0,2,3,2,1,1,2,0,3,3,0,1,3,0,1,0,0,2,3,0,0,1,1,2,3,3,3,3,3,1,3,2,2,3,1,1,2,1,3,2,3,3,3,0,3,2,1,1,2,3,3,0,2,1,2,2,1,3,1,0,0,0,0,2
602,0,0,1,3,0,3,2,4,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,2,2,1,3,3,2,0,0,3,3,0,2,0,2,3,3,0,2,0,1,3,0,3,3,3,0,2,0,1,1,0,3,1,3,3,3,0,0,0,0,2,3,0,3,1,2,3,3,1,3,0,3,2,3,3,1,1,1,2,1,0,2,0,3,2,0,0
603,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,3,0,0,3,1,0,2,1,2,3,2,3,3,2,3,0,1,2,2,3,3,0,1,3,1,1,3,1,3,3,3,2,3,2,3,0,0,1,3,2,1,1,2,1,0,0,0,2,0,2,0,0,1,0,1,1,1,3,1,3,1,2,3,3,1,2,3
604,0,1,2,2,4,1,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,1,0,2,2,0,1,0,0,2,3,0,2,2,3,0,1,3,1,1,1,2,0,0,3,3,3,1,1,1,2,3,0,1,3,2,0,1,2,0,0,0,0,0,3,0,3,1,1,2,2,0,0,3,0,1,1,1,2,2,1,2,3,2,2,1,0,3,2,3,3,0,2,1,0,2
605,0,0,2,0,2,2,4,5,85,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,5,0,1,0,1,0,2,0,1,0,0,0,1,3,0,3,0,3,0,3,2,0,0,0,2,2,0,1,0,2,1,2,1,1,1,2,3,3,2,1,2,0,1,2,0,1,1,1,2,3,3,1,2,3,2,1,2,3,3,2,3,3,1,0,3,3,3,1,3,3,3,2,3,1,1,3,2,1
606,0,1,0,2,4,1,1,7,99,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,1,1,2,4,5,1,6,0,0,0,3,1,0,0,2,0,1,1,1,1,2,1,2,2,3,2,3,1,2,0,2,3,3,3,1,3,0,1,2,1,3,2,3,1,3,3,2,2,1,0,2,2,3,2,1,3,3,2,3,2,3,3,2,0,0,2,2,3,2,0,3,0,2,0,2,2
